现在的角度[0],现在的速度[0],现在的力矩[0],下个时刻的角度[0],下个时刻的速度[0],现在的角度[1],现在的速度[1],现在的力矩[1],下个时刻的角度[1],下个时刻的速度[1],现在的角度[2],现在的速度[2],现在的力矩[2],下个时刻的角度[2],下个时刻的速度[2],现在的角度[3],现在的速度[3],现在的力矩[3],下个时刻的角度[3],下个时刻的速度[3]
-0.0277167,-3.37708e-006,-3.76457,0,0,-49.0882,-111.417,-6.03284,0,0,-37.964,-54.7707,-7.6,0,0,-130.914,-356.038,-7.6,0,0
-0.0277174,-2.28556e-006,-3.81716,0,0,-49.4643,-111.806,-6.06615,0,0,-38.343,-55.0273,-7.65,0,0,-132.04,-358.272,-7.65,0,0
-0.0277179,-1.54683e-006,-3.87136,0,0,-49.8318,-112.226,-6.09998,0,0,-38.7159,-55.2996,-7.7,0,0,-133.144,-360.513,-7.7,0,0
-0.0277182,-1.04687e-006,-3.92789,0,0,-50.1971,-112.696,-6.13419,0,0,-39.0873,-55.5903,-7.75,0,0,-134.231,-362.781,-7.75,0,0
-0.0277184,-7.08505e-007,-3.98671,0,0,-50.5612,-113.185,-6.16877,0,0,-39.4608,-55.8937,-7.8,0,0,-135.31,-365.076,-7.8,0,0
-0.0277185,-4.79505e-007,-4.07305,0,0,-50.9385,-113.735,-6.24334,0,0,-39.8399,-56.2078,-7.9,0,0,-136.405,-367.449,-7.9,0,0
-0.0277186,-3.24522e-007,-4.13539,0,0,-51.3053,-115.421,-6.27877,0,0,-40.2163,-56.9629,-7.95,0,0,-137.486,-372.097,-7.95,0,0
-0.0277187,-2.19631e-007,-4.20108,0,0,-51.6706,-115.944,-6.31456,0,0,-40.5887,-57.2434,-8,0,0,-138.565,-374.414,-8,0,0
-0.0277187,-1.48643e-007,-4.26757,0,0,-52.0324,-116.473,-6.35091,0,0,-40.9564,-57.5239,-8.05,0,0,-139.632,-376.695,-8.05,0,0
-0.0277188,-1.00599e-007,-4.33515,0,0,-52.3885,-117.019,-6.38775,0,0,-41.3224,-57.8162,-8.1,0,0,-140.685,-378.971,-8.1,0,0
-0.0277188,-6.8084e-008,-4.40832,0,0,-52.7521,-117.632,-6.4249,0,0,-41.6856,-58.1059,-8.15,0,0,-141.75,-381.335,-8.15,0,0
-0.0277188,-4.60782e-008,-4.48057,0,0,-53.1113,-118.203,-6.46264,0,0,-42.0455,-58.3952,-8.2,0,0,-142.805,-383.624,-8.2,0,0
-0.0277188,-3.1185e-008,-4.58287,0,0,-53.4829,-118.856,-6.54024,0,0,-42.4071,-58.7022,-8.3,0,0,-143.881,-386.014,-8.3,0,0
-0.0277188,-2.11055e-008,-4.66197,0,0,-53.8535,-120.676,-6.5789,0,0,-42.7635,-59.4577,-8.35,0,0,-144.957,-390.713,-8.35,0,0
-0.0277188,-1.42839e-008,-4.74135,0,0,-54.2226,-121.293,-6.61809,0,0,-43.1161,-59.7485,-8.4,0,0,-146.02,-392.99,-8.4,0,0
